"uuid";"sendervat";"sendername";"recipientvat";"recipientname";"documentid";"issuedate";"receiveddate"
"dfe76a7c-6983-47dc-a35d-f0ae6518953a";"IT00155400351";"CDD S.P.A.";"IT00876120213";"CHEF EXPRESS S.P.A.";"00436/V1";"2019-01-31 00:00:00";"2019-02-01 17:54:26"
"dff1a78f-95aa-42e9-a947-6f7094fd59fa";"IT00155400351";"CDD S.P.A.";"IT00096240429";"COAL SOCIETA' COOPERATIVA A R.L.";"00452/V1";"2019-01-31 00:00:00";"2019-02-01 18:00:17"
"e00a9058-a4aa-4075-bcbc-18c891d28625";"IT00155400351";"CDD S.P.A.";"IT11392351000";"RICA GEST S.R.L.";"00461/V1";"2019-01-31 00:00:00";"2019-02-01 17:54:44"
"e0216fdb-10be-42ba-906d-8249c4e3cadc";"IT00155400351";"CDD S.P.A.";"IT03349310965";"AUCHAN S.P.A.";"00034/V1";"2019-01-05 00:00:00";"2019-01-08 16:40:05"
"e022393c-6395-47b5-8af7-4298df9de479";"IT00155400351";"CDD S.P.A.";"IT10748740015";"RISPARMIO CASA NORD OVEST S.R.L.";"00517/V1";"2019-01-31 00:00:00";"2019-02-01 17:54:38"
"e09ce165-1b21-4e3e-84c2-27d9783c0daa";"IT00155400351";"CDD S.P.A.";"IT11392351000";"RICA GEST S.R.L.";"00501/V1";"2019-01-31 00:00:00";"2019-02-01 17:54:43"
"e0bda37f-23ad-4f29-9193-fca1aa78c6e5";"IT00155400351";"CDD S.P.A.";"IT03320960374";"CONAD SOC.COOP.";"00192/V1";"2019-01-19 00:00:00";"2019-01-22 08:48:45"
"e1a8746d-406b-46d7-a7c5-109da5d1a66f";"IT00155400351";"CDD S.P.A.";"IT00876120213";"CHEF EXPRESS S.P.A.";"00424/V1";"2019-01-31 00:00:00";"2019-02-01 17:55:22"
"e213222c-5366-42b8-9e08-7749473fe152";"IT00155400351";"CDD S.P.A.";"IT03349310965";"AUCHAN S.P.A.";"00717/V1";"2019-02-09 00:00:00";"2019-02-15 11:46:43"
"e2e42ff9-1ea4-4db0-8fed-2a57e58cc1d0";"IT00155400351";"CDD S.P.A.";"IT08970540152";"SMA S.P.A.";"00213/V1";"2019-01-19 00:00:00";"2019-01-22 08:48:28"
"e2f92fef-2c46-4077-9ea7-809d27ccf9f3";"IT00155400351";"CDD S.P.A.";"IT02891660165";"BICOM S.R.L.";"00025/V4";"2019-02-01 00:00:00";"2019-02-15 11:46:15"
"e3497bb0-5ed6-483d-af44-83d8048174c3";"IT00155400351";"CDD S.P.A.";"IT03349310965";"AUCHAN S.P.A.";"00220/V1";"2019-01-19 00:00:00";"2019-01-22 08:48:34"
"e3552812-183a-43cb-a7b4-eb47f4c02eb4";"IT00155400351";"CDD S.P.A.";"IT03185130873";"CENTRO DOLCIUMI S.R.L. DI PITTERA S . E COSENTINO G.";"00085/V1";"2019-01-12 00:00:00";"2019-01-15 17:28:13"
"e357a293-5f6b-410f-9077-b9abe1dd00dc";"IT00155400351";"CDD S.P.A.";"IT00876120213";"CHEF EXPRESS S.P.A.";"00428/V1";"2019-01-31 00:00:00";"2019-02-01 17:55:42"
"e37a9801-c05b-4c9f-9e1d-9a55ec668e9d";"IT00155400351";"CDD S.P.A.";"IT01220100885";"ERGON SOCIETA' CONSORTILE A R.L.";"00360/V1";"2019-01-26 00:00:00";"2019-01-29 11:53:14"
"e3aae3e0-699d-4d34-8f8a-e4a466c08520";"IT00155400351";"CDD S.P.A.";"IT10748740015";"RISPARMIO CASA NORD OVEST S.R.L.";"00521/V1";"2019-01-31 00:00:00";"2019-02-01 17:54:20"
